Ecotone Unit: Level Logger
Serial Number: 000011313A5A
Probe Number: 000011313A5A
Log Read: 6/24/2009 12:46:40
 
____Date___ ,Time ,_Level_,Units
01/05/2009,20:00,-031.4,cm      
01/06/2009,08:00,-031.5,cm      
01/06/2009,20:00,-031.3,cm      
01/07/2009,08:00,-029.3,cm      
01/07/2009,20:00,-029.4,cm      
01/08/2009,08:00,-029.5,cm      
01/08/2009,20:00,-029.5,cm      
01/09/2009,08:00,-029.6,cm      
01/09/2009,20:00,-029.6,cm      
01/10/2009,08:00,-029.4,cm      
01/10/2009,20:00,-029.4,cm      
01/11/2009,08:00,-029.5,cm      
01/11/2009,20:00,-029.7,cm      
01/12/2009,08:00,-029.9,cm      
01/12/2009,20:00,-029.8,cm      
01/13/2009,08:00,-029.3,cm      
01/13/2009,20:00,-030.1,cm      
01/14/2009,08:00,-031.4,cm      
01/14/2009,20:00,-031.3,cm      
01/15/2009,08:00,-031.8,cm      
01/15/2009,20:00,-032.0,cm      
01/16/2009,08:00,-033.3,cm      
01/16/2009,20:00,-033.3,cm      
01/17/2009,08:00,-033.9,cm      
01/17/2009,20:00,-032.7,cm      
01/18/2009,08:00,-031.6,cm      
01/18/2009,20:00,-031.6,cm      
01/19/2009,08:00,-032.1,cm      
01/19/2009,20:00,-031.3,cm      
01/20/2009,08:00,-031.2,cm      
01/20/2009,20:00,-031.3,cm      
01/21/2009,08:00,-032.6,cm      
01/21/2009,20:00,-031.7,cm      
01/22/2009,08:00,-031.3,cm      
01/22/2009,20:00,-031.3,cm      
01/23/2009,08:00,-031.4,cm      
01/23/2009,20:00,-030.8,cm      
01/24/2009,08:00,-031.7,cm      
01/24/2009,20:00,-032.2,cm      
01/25/2009,08:00,-032.9,cm      
01/25/2009,20:00,-032.8,cm      
01/26/2009,08:00,-033.3,cm      
01/26/2009,20:00,-032.5,cm      
01/27/2009,08:00,-032.4,cm      
01/27/2009,20:00,-031.9,cm      
01/28/2009,08:00,-031.3,cm      
01/28/2009,20:00,-030.7,cm      
01/29/2009,08:00,-030.8,cm      
01/29/2009,20:00,-030.3,cm      
01/30/2009,08:00,-030.1,cm      
01/30/2009,20:00,-030.0,cm      
01/31/2009,08:00,-030.3,cm      
01/31/2009,20:00,-029.9,cm      
02/01/2009,08:00,-029.6,cm      
02/01/2009,20:00,-031.2,cm      
02/02/2009,08:00,-031.3,cm      
02/02/2009,20:00,-031.4,cm      
02/03/2009,08:00,-031.3,cm      
02/03/2009,20:00,-031.3,cm      
02/04/2009,08:00,-031.0,cm      
02/04/2009,20:00,-030.7,cm      
02/05/2009,08:00,-031.4,cm      
02/05/2009,20:00,-031.3,cm      
02/06/2009,08:00,-031.4,cm      
02/06/2009,20:00,-029.9,cm      
02/07/2009,08:00,-029.4,cm      
02/07/2009,20:00,-030.3,cm      
02/08/2009,08:00,-021.8,cm      
02/08/2009,20:00,-023.6,cm      
02/09/2009,08:00,-023.7,cm      
02/09/2009,20:00,-024.6,cm      
02/10/2009,08:00,-024.0,cm      
02/10/2009,20:00,-024.6,cm      
02/11/2009,08:00,-025.0,cm      
02/11/2009,20:00,-023.9,cm      
02/12/2009,08:00,-024.6,cm      
02/12/2009,20:00,-025.7,cm      
02/13/2009,08:00,-026.1,cm      
02/13/2009,20:00,-026.4,cm      
02/14/2009,08:00,-026.9,cm      
02/14/2009,20:00,-027.0,cm      
02/15/2009,08:00,-027.1,cm      
02/15/2009,20:00,-027.2,cm      
02/16/2009,08:00,-027.2,cm      
02/16/2009,20:00,-027.4,cm      
02/17/2009,08:00,-027.5,cm      
02/17/2009,20:00,-027.6,cm      
02/18/2009,08:00,-027.6,cm      
02/18/2009,20:00,-025.8,cm      
02/19/2009,08:00,-026.4,cm      
02/19/2009,20:00,-026.4,cm      
02/20/2009,08:00,-026.7,cm      
02/20/2009,20:00,-026.6,cm      
02/21/2009,08:00,-026.8,cm      
02/21/2009,20:00,-026.5,cm      
02/22/2009,08:00,-026.8,cm      
02/22/2009,20:00,-026.8,cm      
02/23/2009,08:00,-027.0,cm      
02/23/2009,20:00,-027.0,cm      
02/24/2009,08:00,-027.5,cm      
02/24/2009,20:00,-027.7,cm      
02/25/2009,08:00,-027.8,cm      
02/25/2009,20:00,-028.1,cm      
02/26/2009,08:00,-026.8,cm      
02/26/2009,20:00,-025.2,cm      
02/27/2009,08:00,-024.6,cm      
02/27/2009,20:00,-025.3,cm      
02/28/2009,08:00,-025.3,cm      
02/28/2009,20:00,-025.3,cm      
03/01/2009,08:00,-025.7,cm      
03/01/2009,20:00,-025.7,cm      
03/02/2009,08:00,-026.2,cm      
03/02/2009,20:00,-026.4,cm      
03/03/2009,08:00,-026.8,cm      
03/03/2009,20:00,-026.7,cm      
03/04/2009,08:00,-027.1,cm      
03/04/2009,20:00,-027.0,cm      
03/05/2009,08:00,-027.7,cm      
03/05/2009,20:00,-025.8,cm      
03/06/2009,08:00,-025.0,cm      
03/06/2009,20:00,-024.7,cm      
03/07/2009,08:00,-025.0,cm      
03/07/2009,20:00,-025.0,cm      
03/08/2009,08:00,-024.4,cm      
03/08/2009,20:00,-023.1,cm      
03/09/2009,08:00,-024.8,cm      
03/09/2009,20:00,-025.6,cm      
03/10/2009,08:00,-025.9,cm      
03/10/2009,20:00,-024.2,cm      
03/11/2009,08:00,-025.0,cm      
03/11/2009,20:00,-026.4,cm      
03/12/2009,08:00,-027.0,cm      
03/12/2009,20:00,-027.2,cm      
03/13/2009,08:00,-027.7,cm      
03/13/2009,20:00,-027.7,cm      
03/14/2009,08:00,-027.8,cm      
03/14/2009,20:00,-027.8,cm      
03/15/2009,08:00,-027.9,cm      
03/15/2009,20:00,-027.8,cm      
03/16/2009,08:00,-028.1,cm      
03/16/2009,20:00,-028.0,cm      
03/17/2009,08:00,-028.2,cm      
03/17/2009,20:00,-028.1,cm      
03/18/2009,08:00,-028.1,cm      
03/18/2009,20:00,-027.7,cm      
03/19/2009,08:00,-027.9,cm      
03/19/2009,20:00,-028.2,cm      
03/20/2009,08:00,-028.4,cm      
03/20/2009,20:00,-028.4,cm      
03/21/2009,08:00,-028.5,cm      
03/21/2009,20:00,-028.4,cm      
03/22/2009,08:00,-028.4,cm      
03/22/2009,20:00,-028.7,cm      
03/23/2009,08:00,-029.2,cm      
03/23/2009,20:00,-029.5,cm      
03/24/2009,08:00,-029.7,cm      
03/24/2009,20:00,-029.4,cm      
03/25/2009,08:00,-029.2,cm      
03/25/2009,20:00,-028.3,cm      
03/26/2009,08:00,-028.3,cm      
03/26/2009,20:00,-028.2,cm      
03/27/2009,08:00,-029.0,cm      
03/27/2009,20:00,-029.1,cm      
03/28/2009,08:00,-029.2,cm      
03/28/2009,20:00,-028.4,cm      
03/29/2009,08:00,-028.7,cm      
03/29/2009,20:00,-027.4,cm      
03/30/2009,08:00,-027.7,cm      
03/30/2009,20:00,-028.0,cm      
03/31/2009,08:00,-028.2,cm      
03/31/2009,20:00,-027.8,cm      
04/01/2009,08:00,-026.8,cm      
04/01/2009,20:00,-027.3,cm      
04/02/2009,08:00,-027.6,cm      
04/02/2009,20:00,-027.5,cm      
04/03/2009,08:00,-026.2,cm      
04/03/2009,20:00,-026.6,cm      
04/04/2009,08:00,-027.2,cm      
04/04/2009,20:00,-027.1,cm      
04/05/2009,08:00,-027.4,cm      
04/05/2009,20:00,-027.4,cm      
04/06/2009,08:00,-027.1,cm      
04/06/2009,20:00,-027.3,cm      
04/07/2009,08:00,-027.4,cm      
04/07/2009,20:00,-027.4,cm      
04/08/2009,08:00,-027.4,cm      
04/08/2009,20:00,-027.3,cm      
04/09/2009,08:00,-027.5,cm      
04/09/2009,20:00,-027.3,cm      
04/10/2009,08:00,-027.4,cm      
04/10/2009,20:00,-027.1,cm      
04/11/2009,08:00,-027.4,cm      
04/11/2009,20:00,-027.6,cm      
04/12/2009,08:00,-028.0,cm      
04/12/2009,20:00,-027.9,cm      
04/13/2009,08:00,-028.1,cm      
04/13/2009,20:00,-027.8,cm      
04/14/2009,08:00,-027.7,cm      
04/14/2009,20:00,-026.5,cm      
04/15/2009,08:00,-026.2,cm      
04/15/2009,20:00,-026.4,cm      
04/16/2009,08:00,-026.8,cm      
04/16/2009,20:00,-026.9,cm      
04/17/2009,08:00,-027.2,cm      
04/17/2009,20:00,-027.1,cm      
04/18/2009,08:00,-027.2,cm      
04/18/2009,20:00,-027.1,cm      
04/19/2009,08:00,-027.2,cm      
04/19/2009,20:00,-027.1,cm      
04/20/2009,08:00,-026.0,cm      
04/20/2009,20:00,-026.0,cm      
04/21/2009,08:00,-026.4,cm      
04/21/2009,20:00,-026.5,cm      
04/22/2009,08:00,-026.7,cm      
04/22/2009,20:00,-026.7,cm      
04/23/2009,08:00,-027.1,cm      
04/23/2009,20:00,-027.0,cm      
04/24/2009,08:00,-026.4,cm      
04/24/2009,20:00,-026.4,cm      
04/25/2009,08:00,-026.4,cm      
04/25/2009,20:00,-026.3,cm      
04/26/2009,08:00,-026.5,cm      
04/26/2009,20:00,-026.5,cm      
04/27/2009,08:00,-026.7,cm      
04/27/2009,20:00,-026.8,cm      
04/28/2009,08:00,-026.7,cm      
04/28/2009,20:00,-026.4,cm      
04/29/2009,08:00,-026.9,cm      
04/29/2009,20:00,-027.1,cm      
04/30/2009,08:00,-026.9,cm      
04/30/2009,20:00,-025.6,cm      
05/01/2009,08:00,-025.6,cm      
05/01/2009,20:00,-025.7,cm      
05/02/2009,08:00,-026.3,cm      
05/02/2009,20:00,-026.6,cm      
05/03/2009,08:00,-026.8,cm      
05/03/2009,20:00,-027.0,cm      
05/04/2009,08:00,-027.0,cm      
05/04/2009,20:00,-027.1,cm      
05/05/2009,08:00,-027.1,cm      
05/05/2009,20:00,-027.3,cm      
05/06/2009,08:00,-027.2,cm      
05/06/2009,20:00,-026.1,cm      
05/07/2009,08:00,-026.7,cm      
05/07/2009,20:00,-025.9,cm      
05/08/2009,08:00,-026.3,cm      
05/08/2009,20:00,-025.5,cm      
05/09/2009,08:00,-025.8,cm      
05/09/2009,20:00,-027.1,cm      
05/10/2009,08:00,-026.7,cm      
05/10/2009,20:00,-027.1,cm      
05/11/2009,08:00,-027.3,cm      
05/11/2009,20:00,-027.9,cm      
05/12/2009,08:00,-027.9,cm      
05/12/2009,20:00,-028.1,cm      
05/13/2009,08:00,-027.9,cm      
05/13/2009,20:00,-027.0,cm      
05/14/2009,08:00,-026.8,cm      
05/14/2009,20:00,-027.8,cm      
05/15/2009,08:00,-027.8,cm      
05/15/2009,20:00,-027.7,cm      
05/16/2009,08:00,-027.5,cm      
05/16/2009,20:00,-028.0,cm      
05/17/2009,08:00,-028.8,cm      
05/17/2009,20:00,-029.2,cm      
05/18/2009,08:00,-029.2,cm      
05/18/2009,20:00,-030.3,cm      
05/19/2009,08:00,-029.9,cm      
05/19/2009,20:00,-030.1,cm      
05/20/2009,08:00,-029.8,cm      
05/20/2009,20:00,-030.6,cm      
05/21/2009,08:00,-030.5,cm      
05/21/2009,20:00,-031.2,cm      
05/22/2009,08:00,-031.2,cm      
05/22/2009,20:00,-031.5,cm      
05/23/2009,08:00,-031.3,cm      
05/23/2009,20:00,-031.8,cm      
05/24/2009,08:00,-031.8,cm      
05/24/2009,20:00,-032.1,cm      
05/25/2009,08:00,-032.5,cm      
05/25/2009,20:00,-032.6,cm      
05/26/2009,08:00,-032.5,cm      
05/26/2009,20:00,-032.1,cm      
05/27/2009,08:00,-032.0,cm      
05/27/2009,20:00,-028.9,cm      
05/28/2009,08:00,-029.1,cm      
05/28/2009,20:00,-024.8,cm      
05/29/2009,08:00,-025.4,cm      
05/29/2009,20:00,-025.8,cm      
05/30/2009,08:00,-026.3,cm      
05/30/2009,20:00,-026.4,cm      
05/31/2009,08:00,-026.9,cm      
05/31/2009,20:00,-027.1,cm      
06/01/2009,08:00,-027.2,cm      
06/01/2009,20:00,-026.8,cm      
06/02/2009,08:00,-025.9,cm      
06/02/2009,20:00,-026.5,cm      
06/03/2009,08:00,-026.4,cm      
06/03/2009,20:00,-026.7,cm      
06/04/2009,08:00,-027.0,cm      
06/04/2009,20:00,-027.5,cm      
06/05/2009,08:00,-027.4,cm      
06/05/2009,20:00,-028.2,cm      
06/06/2009,08:00,-028.4,cm      
06/06/2009,20:00,-029.6,cm      
06/07/2009,08:00,-029.7,cm      
06/07/2009,20:00,-030.2,cm      
06/08/2009,08:00,-030.2,cm      
06/08/2009,20:00,-030.4,cm      
06/09/2009,08:00,-030.6,cm      
06/09/2009,20:00,-031.5,cm      
06/10/2009,08:00,-031.6,cm      
06/10/2009,20:00,-031.5,cm      
06/11/2009,08:00,-031.5,cm      
06/11/2009,20:00,-031.2,cm      
06/12/2009,08:00,-031.3,cm      
06/12/2009,20:00,-031.9,cm      
06/13/2009,08:00,-032.0,cm      
06/13/2009,20:00,-032.6,cm      
06/14/2009,08:00,-032.4,cm      
06/14/2009,20:00,-032.5,cm      
06/15/2009,08:00,-032.4,cm      
06/15/2009,20:00,-032.8,cm      
06/16/2009,08:00,-032.8,cm      
06/16/2009,20:00,-032.5,cm      
06/17/2009,08:00,-031.8,cm      
06/17/2009,20:00,-030.4,cm      
06/18/2009,08:00,-030.7,cm      
06/18/2009,20:00,-029.5,cm      
06/19/2009,08:00,-030.3,cm      
06/19/2009,20:00,-029.4,cm      
06/20/2009,08:00,-024.5,cm      
06/20/2009,20:00,-025.6,cm      
06/21/2009,08:00,-026.0,cm      
